,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
0,0,0.7245900722924246,2022-11-29 18:46:16.368840,2022-11-29 18:46:34.526797,0 days 00:00:18.157957,,5.0,0.9,460,COMPLETE
1,1,0.7124275811969951,2022-11-29 18:46:34.707037,2022-11-29 18:46:52.233077,0 days 00:00:17.526040,"{0: 1, 1: 10}",18.0,0.8,560,COMPLETE
2,2,0.6508678894906738,2022-11-29 18:46:52.382871,2022-11-29 18:47:13.588161,0 days 00:00:21.205290,balanced,,1.0,710,COMPLETE
3,3,0.6421780860462902,2022-11-29 18:47:13.774571,2022-11-29 18:47:24.117372,0 days 00:00:10.342801,"{0: 1, 1: 100}",30.0,,260,COMPLETE
4,4,0.6454914325510333,2022-11-29 18:47:24.296845,2022-11-29 18:47:31.194945,0 days 00:00:06.898100,"{0: 1, 1: 10}",9.0,sqrt,110,COMPLETE
5,5,0.6666745588432648,2022-11-29 18:47:31.358193,2022-11-29 18:47:43.184156,0 days 00:00:11.825963,balanced,2.0,1.0,410,COMPLETE
6,6,0.6579657606423465,2022-11-29 18:47:43.355498,2022-11-29 18:48:00.214048,0 days 00:00:16.858550,balanced,24.0,0.9,560,COMPLETE
7,7,0.6548037611332664,2022-11-29 18:48:00.389553,2022-11-29 18:48:07.161791,0 days 00:00:06.772238,balanced,19.0,0.6,60,COMPLETE
8,8,0.65751281607572,2022-11-29 18:48:07.318665,2022-11-29 18:48:19.131854,0 days 00:00:11.813189,balanced,,0.9,310,COMPLETE
9,9,0.6743867435499065,2022-11-29 18:48:19.295259,2022-11-29 18:48:36.865309,0 days 00:00:17.570050,,33.0,0.8,360,COMPLETE
10,10,0.6744870520438724,2022-11-29 18:48:37.061878,2022-11-29 18:48:49.359176,0 days 00:00:12.297298,,10.0,0.6,260,COMPLETE
11,11,0.6994418345291531,2022-11-29 18:48:49.519585,2022-11-29 18:49:27.123531,0 days 00:00:37.603946,,8.0,1.0,810,COMPLETE
12,12,0.6592492539730805,2022-11-29 18:49:27.302956,2022-11-29 18:49:42.419871,0 days 00:00:15.116915,balanced,14.0,0.7,560,COMPLETE
13,13,0.6731046657709543,2022-11-29 18:49:42.592187,2022-11-29 18:50:03.215473,0 days 00:00:20.623286,,36.0,0.7,510,COMPLETE
14,14,0.6608123014139873,2022-11-29 18:50:03.374366,2022-11-29 18:50:13.576202,0 days 00:00:10.201836,balanced,29.0,sqrt,960,COMPLETE
15,15,0.6619298418040925,2022-11-29 18:50:13.753038,2022-11-29 18:50:35.191055,0 days 00:00:21.438017,balanced,21.0,0.7,910,COMPLETE
16,16,0.632292171555996,2022-11-29 18:50:35.359005,2022-11-29 18:50:42.166374,0 days 00:00:06.807369,,1.0,0.7,110,COMPLETE
17,17,0.6400421875250307,2022-11-29 18:50:42.332424,2022-11-29 18:50:49.210946,0 days 00:00:06.878522,,2.0,0.6,10,COMPLETE
18,18,0.6295548177836341,2022-11-29 18:50:49.388676,2022-11-29 18:51:06.152322,0 days 00:00:16.763646,"{0: 1, 1: 100}",15.0,0.9,660,COMPLETE
19,19,0.626364451529544,2022-11-29 18:51:06.320541,2022-11-29 18:51:28.984908,0 days 00:00:22.664367,"{0: 1, 1: 100}",12.0,,960,COMPLETE
20,20,0.6742901773147337,2022-11-29 18:51:29.165587,2022-11-29 18:51:47.151538,0 days 00:00:17.985951,,27.0,1.0,310,COMPLETE
21,21,0.6545668893164287,2022-11-29 18:51:47.321092,2022-11-29 18:52:08.618640,0 days 00:00:21.297548,balanced,38.0,,710,COMPLETE
22,22,0.7077865768377223,2022-11-29 18:52:08.798774,2022-11-29 18:52:19.790619,0 days 00:00:10.991845,"{0: 1, 1: 10}",33.0,,210,COMPLETE
23,23,0.7133196175646266,2022-11-29 18:52:19.968369,2022-11-29 18:52:43.415331,0 days 00:00:23.446962,"{0: 1, 1: 10}",31.0,0.9,760,COMPLETE
24,24,0.6506921097145643,2022-11-29 18:52:43.568228,2022-11-29 18:53:01.197338,0 days 00:00:17.629110,"{0: 1, 1: 100}",32.0,0.6,910,COMPLETE
25,25,0.667438037147327,2022-11-29 18:53:01.363673,2022-11-29 18:53:09.374470,0 days 00:00:08.010797,"{0: 1, 1: 100}",36.0,sqrt,510,COMPLETE
26,26,0.6653030524358605,2022-11-29 18:53:09.550488,2022-11-29 18:53:19.137371,0 days 00:00:09.586883,balanced,25.0,0.6,260,COMPLETE
27,27,0.7171974056900674,2022-11-29 18:53:19.296269,2022-11-29 18:53:39.406374,0 days 00:00:20.110105,"{0: 1, 1: 10}",10.0,0.9,610,COMPLETE
28,28,0.6203774338929989,2022-11-29 18:53:39.581011,2022-11-29 18:53:54.916297,0 days 00:00:15.335286,balanced,8.0,1.0,460,COMPLETE
29,29,0.6552829114976123,2022-11-29 18:53:55.087789,2022-11-29 18:54:18.542861,0 days 00:00:23.455072,balanced,24.0,1.0,810,COMPLETE
30,30,0.5930616710714764,2022-11-29 18:54:18.707626,2022-11-29 18:54:25.549629,0 days 00:00:06.842003,balanced,23.0,log2,160,COMPLETE
31,31,0.7276272314664165,2022-11-29 18:54:25.728218,2022-11-29 18:54:43.058366,0 days 00:00:17.330148,"{0: 1, 1: 10}",7.0,,460,COMPLETE
32,32,0.6509984646638888,2022-11-29 18:54:43.245559,2022-11-29 18:55:02.287161,0 days 00:00:19.041602,balanced,17.0,1.0,610,COMPLETE
33,33,0.7317423869370232,2022-11-29 18:55:02.454772,2022-11-29 18:55:24.971112,0 days 00:00:22.516340,"{0: 1, 1: 10}",5.0,1.0,710,COMPLETE
34,34,0.6351593931120005,2022-11-29 18:55:25.163661,2022-11-29 18:55:32.869753,0 days 00:00:07.706092,"{0: 1, 1: 100}",24.0,0.6,160,COMPLETE
35,35,0.560993349352848,2022-11-29 18:55:33.046051,2022-11-29 18:55:39.674451,0 days 00:00:06.628400,"{0: 1, 1: 100}",1.0,0.8,110,COMPLETE
36,36,0.7125227920006795,2022-11-29 18:55:39.837123,2022-11-29 18:56:02.908613,0 days 00:00:23.071490,"{0: 1, 1: 10}",21.0,0.8,810,COMPLETE
37,37,0.7161740082364342,2022-11-29 18:56:03.079836,2022-11-29 18:56:19.479873,0 days 00:00:16.400037,"{0: 1, 1: 10}",29.0,0.9,460,COMPLETE
38,38,0.7160348375787582,2022-11-29 18:56:19.636460,2022-11-29 18:56:42.361834,0 days 00:00:22.725374,"{0: 1, 1: 10}",31.0,1.0,660,COMPLETE
39,39,0.6956988748359627,2022-11-29 18:56:42.535903,2022-11-29 18:56:50.532683,0 days 00:00:07.996780,"{0: 1, 1: 10}",13.0,0.8,110,COMPLETE
40,40,0.6457151625148194,2022-11-29 18:56:50.716675,2022-11-29 18:57:07.459002,0 days 00:00:16.742327,"{0: 1, 1: 100}",20.0,0.6,860,COMPLETE
41,41,0.6354841186168818,2022-11-29 18:57:07.625182,2022-11-29 18:57:26.418857,0 days 00:00:18.793675,"{0: 1, 1: 100}",38.0,,710,COMPLETE
42,42,0.5303369811205967,2022-11-29 18:57:26.586031,2022-11-29 18:57:36.113367,0 days 00:00:09.527336,"{0: 1, 1: 10}",36.0,log2,860,COMPLETE
43,43,0.7140242663695873,2022-11-29 18:57:36.285032,2022-11-29 18:57:51.667464,0 days 00:00:15.382432,"{0: 1, 1: 10}",14.0,0.7,510,COMPLETE
44,44,0.6490847327394507,2022-11-29 18:57:51.836611,2022-11-29 18:58:14.146835,0 days 00:00:22.310224,balanced,21.0,,760,COMPLETE
45,45,0.6486937433308623,2022-11-29 18:58:14.313103,2022-11-29 18:58:21.382031,0 days 00:00:07.068928,"{0: 1, 1: 10}",11.0,sqrt,310,COMPLETE
46,46,0.6395120206005921,2022-11-29 18:58:21.558559,2022-11-29 18:58:32.661755,0 days 00:00:11.103196,"{0: 1, 1: 100}",25.0,0.7,360,COMPLETE
47,47,0.6721293245634686,2022-11-29 18:58:32.842946,2022-11-29 18:58:53.291603,0 days 00:00:20.448657,,35.0,,360,COMPLETE
48,48,0.5512513272180707,2022-11-29 18:58:53.459777,2022-11-29 18:59:00.407555,0 days 00:00:06.947778,"{0: 1, 1: 10}",25.0,log2,60,COMPLETE
