,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
0,0,0.014563106796116504,2022-12-01 20:34:52.380709,2022-12-01 20:35:03.268975,0 days 00:00:10.888266,,5.0,0.9,460,COMPLETE
1,1,0.08174969178609955,2022-12-01 20:35:03.476356,2022-12-01 20:35:14.840997,0 days 00:00:11.364641,"{0: 1, 1: 10}",18.0,0.8,560,COMPLETE
2,2,0.17715524991010426,2022-12-01 20:35:15.044249,2022-12-01 20:35:26.766671,0 days 00:00:11.722422,balanced,,1.0,710,COMPLETE
3,3,0.16329740715056246,2022-12-01 20:35:26.973604,2022-12-01 20:35:35.060161,0 days 00:00:08.086557,"{0: 1, 1: 100}",30.0,,260,COMPLETE
4,4,0.12354877469126468,2022-12-01 20:35:35.261280,2022-12-01 20:35:42.401364,0 days 00:00:07.140084,"{0: 1, 1: 10}",9.0,sqrt,110,COMPLETE
5,5,0.17587288745055735,2022-12-01 20:35:42.606126,2022-12-01 20:35:51.631411,0 days 00:00:09.025285,balanced,2.0,1.0,410,COMPLETE
6,6,0.16934173858324342,2022-12-01 20:35:51.833434,2022-12-01 20:36:01.919615,0 days 00:00:10.086181,balanced,24.0,0.9,560,COMPLETE
7,7,0.1830969717984281,2022-12-01 20:36:02.104924,2022-12-01 20:36:09.075000,0 days 00:00:06.970076,balanced,19.0,0.6,60,COMPLETE
8,8,0.167828504648893,2022-12-01 20:36:09.277747,2022-12-01 20:36:17.430928,0 days 00:00:08.153181,balanced,,0.9,310,COMPLETE
9,9,0.03074433656957929,2022-12-01 20:36:17.637213,2022-12-01 20:36:27.086759,0 days 00:00:09.449546,,33.0,0.8,360,COMPLETE
10,10,0.014563106796116504,2022-12-01 20:36:27.291463,2022-12-01 20:36:35.084054,0 days 00:00:07.792591,,10.0,0.6,260,COMPLETE
11,11,0.02573971336107258,2022-12-01 20:36:35.290456,2022-12-01 20:36:50.838165,0 days 00:00:15.547709,,8.0,1.0,810,COMPLETE
