,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
0,0,0.7512598882218569,2022-12-01 00:35:43.253266,2022-12-01 00:35:59.921979,0 days 00:00:16.668713,,5.0,0.9,460,COMPLETE
1,1,0.758850989597279,2022-12-01 00:36:00.163616,2022-12-01 00:36:13.455324,0 days 00:00:13.291708,"{0: 1, 1: 10}",18.0,0.8,560,COMPLETE
2,2,0.6343481818809276,2022-12-01 00:36:13.862453,2022-12-01 00:36:29.027539,0 days 00:00:15.165086,balanced,,1.0,710,COMPLETE
3,3,0.6340959097286402,2022-12-01 00:36:29.225820,2022-12-01 00:36:40.439183,0 days 00:00:11.213363,"{0: 1, 1: 100}",30.0,,260,COMPLETE
4,4,0.6750708249247472,2022-12-01 00:36:40.641344,2022-12-01 00:36:47.594754,0 days 00:00:06.953410,"{0: 1, 1: 10}",9.0,sqrt,110,COMPLETE
5,5,0.6533903591614924,2022-12-01 00:36:47.848322,2022-12-01 00:36:58.768429,0 days 00:00:10.920107,balanced,2.0,1.0,410,COMPLETE
6,6,0.6408282267314045,2022-12-01 00:36:58.973847,2022-12-01 00:37:10.741467,0 days 00:00:11.767620,balanced,24.0,0.9,560,COMPLETE
7,7,0.6646184389392455,2022-12-01 00:37:10.943351,2022-12-01 00:37:17.780571,0 days 00:00:06.837220,balanced,19.0,0.6,60,COMPLETE
8,8,0.6444648400785413,2022-12-01 00:37:17.995084,2022-12-01 00:37:27.148360,0 days 00:00:09.153276,balanced,,0.9,310,COMPLETE
9,9,0.7365653422521422,2022-12-01 00:37:27.351570,2022-12-01 00:37:41.371926,0 days 00:00:14.020356,,33.0,0.8,360,COMPLETE
10,10,0.7367258873923921,2022-12-01 00:37:42.073541,2022-12-01 00:37:53.142537,0 days 00:00:11.068996,,10.0,0.6,260,COMPLETE
11,11,0.7343047768062185,2022-12-01 00:37:53.343571,2022-12-01 00:38:21.350061,0 days 00:00:28.006490,,8.0,1.0,810,COMPLETE
12,12,0.6548008505809422,2022-12-01 00:38:21.558521,2022-12-01 00:38:32.525140,0 days 00:00:10.966619,balanced,14.0,0.7,560,COMPLETE
13,13,0.7328666509235078,2022-12-01 00:38:32.739060,2022-12-01 00:38:49.002537,0 days 00:00:16.263477,,36.0,0.7,510,COMPLETE
14,14,0.7107460680165187,2022-12-01 00:38:49.202607,2022-12-01 00:38:59.014471,0 days 00:00:09.811864,balanced,29.0,sqrt,960,COMPLETE
15,15,0.6536069019151152,2022-12-01 00:38:59.218792,2022-12-01 00:39:13.622478,0 days 00:00:14.403686,balanced,21.0,0.7,910,COMPLETE
16,16,0.6517764090750193,2022-12-01 00:39:13.842968,2022-12-01 00:39:20.709589,0 days 00:00:06.866621,,1.0,0.7,110,COMPLETE
17,17,0.6581242763402166,2022-12-01 00:39:20.894948,2022-12-01 00:39:27.675666,0 days 00:00:06.780718,,2.0,0.6,10,COMPLETE
18,18,0.6460644742748435,2022-12-01 00:39:28.153446,2022-12-01 00:39:41.327744,0 days 00:00:13.174298,"{0: 1, 1: 100}",15.0,0.9,660,COMPLETE
19,19,0.6416456227707895,2022-12-01 00:39:41.530192,2022-12-01 00:39:57.922669,0 days 00:00:16.392477,"{0: 1, 1: 100}",12.0,,960,COMPLETE
20,20,0.7358098959458179,2022-12-01 00:39:58.122757,2022-12-01 00:40:12.273982,0 days 00:00:14.151225,,27.0,1.0,310,COMPLETE
21,21,0.6431336556738305,2022-12-01 00:40:12.478844,2022-12-01 00:40:26.416783,0 days 00:00:13.937939,balanced,38.0,,710,COMPLETE
22,22,0.7614479819590664,2022-12-01 00:40:26.631619,2022-12-01 00:40:35.519418,0 days 00:00:08.887799,"{0: 1, 1: 10}",33.0,,210,COMPLETE
23,23,0.768725587959566,2022-12-01 00:40:35.722061,2022-12-01 00:40:52.145031,0 days 00:00:16.422970,"{0: 1, 1: 10}",31.0,0.9,760,COMPLETE
24,24,0.6609330481764848,2022-12-01 00:40:52.345026,2022-12-01 00:41:05.855188,0 days 00:00:13.510162,"{0: 1, 1: 100}",32.0,0.6,910,COMPLETE
25,25,0.7168458662888108,2022-12-01 00:41:06.060150,2022-12-01 00:41:14.086588,0 days 00:00:08.026438,"{0: 1, 1: 100}",36.0,sqrt,510,COMPLETE
26,26,0.664953685001672,2022-12-01 00:41:14.292248,2022-12-01 00:41:22.321972,0 days 00:00:08.029724,balanced,25.0,0.6,260,COMPLETE
27,27,0.767797961127275,2022-12-01 00:41:22.526605,2022-12-01 00:41:36.786392,0 days 00:00:14.259787,"{0: 1, 1: 10}",10.0,0.9,610,COMPLETE
