,Name,Smiles,Binding
0,it1.0_AM-01_furan-piperazine-01,CCOC(=O)N1CCN(C(=O)N2CCN(C(=O)c3ccco3)CC2)CC1,False
3,it1.0_AM-04_furan-piperazine-01,O=C(c1ccco1)N1CCN(C(=O)N2CCN(CCO)CC2)CC1,False
5,it1.0_AM-07_furan-piperazine-01,O=C(c1ccco1)N1CCN(C(=O)N2CCN(c3ccccc3)CC2)CC1,False
6,it1.0_AM-09_furan-piperazine-01,CN1CCN(C(=O)N2CCN(C(=O)c3ccco3)CC2)CC1,False
7,it1.0_AM-10_furan-piperazine-01,COCCNC(=O)N1CCN(C(=O)c2ccco2)CC1,True
12,it1.0_AM-15_furan-piperazine-01,CCCCNC(=O)N1CCN(C(=O)c2ccco2)CC1,True
14,it1.0_AM-18_furan-piperazine-01,COc1ccc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)c(F)c1,True
16,it1.0_AM-20_furan-piperazine-01,O=C(Nc1nc2ccccc2o1)N1CCN(C(=O)c2ccco2)CC1,True
18,it1.0_AM-25_furan-piperazine-01,COc1ccc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)cc1,True
20,it1.0_AM-27_furan-piperazine-01,O=C(NCC1CC1)N1CCN(C(=O)c2ccco2)CC1,True
22,it1.0_AM-29_furan-piperazine-01,CCN(CC)C(=O)N1CCN(C(=O)c2ccco2)CC1,False
24,it1.0_AM-31_furan-piperazine-01,CC(C)NC(=O)N1CCN(C(=O)c2ccco2)CC1,True
25,it1.0_AM-32_furan-piperazine-01,O=C(NCC(F)(F)F)N1CCN(C(=O)c2ccco2)CC1,True
29,it1.0_AM-38_furan-piperazine-01,CS(=O)(=O)N1CCN(C(=O)N2CCN(C(=O)c3ccco3)CC2)CC1,False
31,it1.0_AM-40_furan-piperazine-01,CC(C)C(=O)N1CCN(C(=O)N2CCN(C(=O)c3ccco3)CC2)CC1,False
32,it1.0_AM-42_furan-piperazine-01,O=C(Nc1nc2ccccc2[nH]1)N1CCN(C(=O)c2ccco2)CC1,False
33,it1.0_AM-43_furan-piperazine-01,Nc1ccc(CC(=O)NC(=O)N2CCN(C(=O)c3ccco3)CC2)cc1,False
35,it1.0_AM-46_furan-piperazine-01,O=C(c1ccco1)N1CCN(C(=O)N2CCNCC2=O)CC1,False
36,it1.0_AM-47_furan-piperazine-01,O=C(c1ccco1)N1CCN(C(=O)N2CCN(Cc3ccco3)CC2)CC1,False
39,it1.0_AM-50_furan-piperazine-01,O=C(Nc1ccc(F)cc1F)N1CCN(C(=O)c2ccco2)CC1,True
40,it1.0_AM-52_furan-piperazine-01,O=C(Nc1cccc(O)c1)N1CCN(C(=O)c2ccco2)CC1,False
42,it1.0_AM-54_furan-piperazine-01,O=C(NCc1cccs1)N1CCN(C(=O)c2ccco2)CC1,True
43,it1.0_AM-55_furan-piperazine-01,CN(C(=O)N1CCN(C(=O)c2ccco2)CC1)C1CCS(=O)(=O)C1,False
45,it1.0_AM-01_morpholine-01,CCOC(=O)N1CCN(C(=O)N2CCOCC2)CC1,False
48,it1.0_AM-04_morpholine-01,O=C(N1CCOCC1)N1CCN(CCO)CC1,False
49,it1.0_AM-06_morpholine-01,O=C(NC1CCCC1)N1CCOCC1,False
51,it1.0_AM-08_morpholine-01,O=C(N1CCOCC1)N1CCSCC1,False
52,it1.0_AM-10_morpholine-01,COCCNC(=O)N1CCOCC1,False
54,it1.0_AM-13_morpholine-01,O=C(NCCN1CCOCC1)N1CCOCC1,False
57,it1.0_AM-17_morpholine-01,O=C(Nc1ccc2ncsc2c1)N1CCOCC1,False
59,it1.0_AM-19_morpholine-01,CC(C)CCNC(=O)N1CCOCC1,False
60,it1.0_AM-20_morpholine-01,O=C(Nc1nc2ccccc2o1)N1CCOCC1,False
61,it1.0_AM-21_morpholine-01,CCCCCNC(=O)N1CCOCC1,False
62,it1.0_AM-22_morpholine-01,CC(C)CC(CO)NC(=O)N1CCOCC1,False
63,it1.0_AM-24_morpholine-01,CCCNC(=O)N1CCOCC1,False
67,it1.0_AM-29_morpholine-01,CCN(CC)C(=O)N1CCOCC1,False
68,it1.0_AM-30_morpholine-01,O=C(NC1CC1)N1CCOCC1,False
72,it1.0_AM-38_morpholine-01,CS(=O)(=O)N1CCN(C(=O)N2CCOCC2)CC1,False
73,it1.0_AM-40_morpholine-01,CC(C)C(=O)N1CCN(C(=O)N2CCOCC2)CC1,False
74,it1.0_AM-42_morpholine-01,O=C(Nc1nc2ccccc2[nH]1)N1CCOCC1,False
77,it1.0_AM-55_morpholine-01,CN(C(=O)N1CCOCC1)C1CCS(=O)(=O)C1,False
78,it2.0_CA-01_piperazine-01,O=C(Cc1c[nH]cn1)N1CCN(C(=O)c2ccco2)CC1,False
79,it2.0_CA-02_piperazine-01,O=C(c1ccco1)N1CCN(C(=O)c2scc3c2OCCO3)CC1,False
80,it2.0_CA-03_piperazine-01,O=C(c1ccco1)N1CCN(C(=O)C(O)c2ccccc2)CC1,False
82,it2.0_CA-05_piperazine-01,Cc1cc(C)c(C(=O)N2CCN(C(=O)c3ccco3)CC2)c(C)c1,False
83,it2.0_CA-06_piperazine-01,O=C(C#Cc1ccccc1)N1CCN(C(=O)c2ccco2)CC1,False
84,it2.0_CA-07_piperazine-01,O=C(CCc1ccc(Cl)cc1)N1CCN(C(=O)c2ccco2)CC1,False
86,it2.0_CA-09_piperazine-01,O=C(c1ccco1)N1CCN(C(=O)c2ccc3cccnc3c2O)CC1,False
87,it2.0_CA-10_piperazine-01,Cn1nccc1C(=O)N1CCN(C(=O)c2ccco2)CC1,False
88,it2.0_CA-11_piperazine-01,COc1cccc(OC)c1C(=O)N1CCN(C(=O)c2ccco2)CC1,False
90,it2.0_CA-13_piperazine-01,O=C(Cc1ccc(Cl)nc1)N1CCN(C(=O)c2ccco2)CC1,False
92,it2.0_CA-15_piperazine-01,O=C(CCc1ccccc1)N1CCN(C(=O)c2ccco2)CC1,False
93,it2.0_CA-16_piperazine-01,COc1cc(CC(=O)N2CCN(C(=O)c3ccco3)CC2)ccc1O,False
95,it2.0_CA-19_piperazine-01,O=C(c1ccc2ncccc2c1)N1CCN(C(=O)c2ccco2)CC1,False
96,it2.0_CA-20_piperazine-01,O=C(c1ccco1)N1CCN(C(=O)c2ccccc2O)CC1,False
97,it2.0_CA-21_piperazine-01,O=C(c1ccco1)N1CCN(C(=O)c2ccccc2I)CC1,False
98,it2.0_CA-23_piperazine-01,O=C(c1c[nH]cn1)N1CCN(C(=O)c2ccco2)CC1,False
99,it2.0_CA-25_piperazine-01,COc1ccc(OC)c(CC(=O)N2CCN(C(=O)c3ccco3)CC2)c1,False
100,it2.0_CA-26_piperazine-01,O=C(c1ccco1)N1CCN(C(=O)c2sc3ccccc3c2Cl)CC1,False
102,it2.0_CA-28_piperazine-01,CC(C)(C)OC(=O)N1CCCCC1C(=O)N1CCN(C(=O)c2ccco2)CC1,False
103,it2.0_CA-29_piperazine-01,Cc1cc([N+](=O)[O-])ccc1C(=O)N1CCN(C(=O)c2ccco2)CC1,False
104,it2.0_CA-30_piperazine-01,C#CCCCC(=O)N1CCN(C(=O)c2ccco2)CC1,False
105,it2.0_CA-31_piperazine-01,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)N1CCN(C(=O)c2ccco2)CC1,False
106,it2.0_CA-32_piperazine-01,COC(=O)CCCCCCC(=O)N1CCN(C(=O)c2ccco2)CC1,False
108,it2.0_CA-35_piperazine-01,Cn1cccc1C(=O)N1CCN(C(=O)c2ccco2)CC1,False
109,it2.0_CA-36_piperazine-01,O=C(c1cc(O)c2cccc(O)c2n1)N1CCN(C(=O)c2ccco2)CC1,False
110,it2.0_CA-37_piperazine-01,COc1cccc(C(=O)N2CCN(C(=O)c3ccco3)CC2)c1,False
111,it2.0_CA-38_piperazine-01,O=C(c1ccc([N+](=O)[O-])cc1)N1CCN(C(=O)c2ccco2)CC1,False
112,it2.0_CA-39_piperazine-01,O=C(c1ccc2cccc(O)c2n1)N1CCN(C(=O)c2ccco2)CC1,False
113,it2.0_CA-40_piperazine-01,CCCCCCCCCCCCCCCC(=O)N1CCN(C(=O)c2ccco2)CC1,False
114,it2.0_CA-41_piperazine-01,O=C(c1ccco1)N1CCN(C(=O)C2COc3ccccc3O2)CC1,False
116,it2.0_CA-43_piperazine-01,O=C(c1cncc(Br)c1)N1CCN(C(=O)c2ccco2)CC1,False
117,it2.0_CA-44_piperazine-01,C=CCCC(=O)N1CCN(C(=O)c2ccco2)CC1,False
