index,cid,PBS,smiles,CoPriNet,NBS,Experimental,RO5,RO3,1st closest,2d closest,3d closest
42454,Z44585593,0.875,CCN1CCN(C(=O)NC2=CC=CC(Cl)=C2)CC1,1.67034006118774,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
42212,Z44584906,0.875,CC1=CC=C(NC(=O)N2CCN(C)CC2)C=C1Cl,1.79438662528992,0.9895833333333334,False,True,False,5S8U,5S8S,5S8W
44158,Z2789103431,0.875,CC1=CC=CC=C1NC(=O)N1CCN(S(C)(=N)=O)CC1,1.80612969398499,0.9930555555555556,False,True,False,5S8S,5S8U,5S8W
43528,Z3246122794,0.875,C=CCN1CCN(C(=O)NC2=CC=C(OC)C=C2)CC1,1.81120407581329,0.9791666666666667,False,True,False,5S8W,5S8S,5S8U
43147,Z31472249,0.875,CCN1CCN(C(=O)C2=CC=C(NC(C)=O)C=C2)CC1,1.82946193218231,0.9861111111111112,False,True,False,5S8S,5S8W,5S8U
43941,Z409533532,0.875,CN1CCN(C(=O)NC2=CC=CC=C2Br)CC1,1.84491360187531,0.9930555555555556,False,True,False,5S8U,5S8S,5S8W
13341,Z409952296,1.0,CCC1=CC=C(NC(=O)N2CCN(C(=O)C3=CC=CO3)CC2)C=C1,1.84594511985779,0.982638888888889,False,True,False,5S8V,5S8W,5S8U
44322,Z409616772,0.875,CCN1CCN(C(=O)NC2=CC(Cl)=CC=C2Cl)CC1,1.86346518993378,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
42430,Z2722241678,0.875,CCON1CCN(C(=O)NC2=CC=CC(Cl)=C2)CC1,1.89393103122711,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
43250,Z166681144,0.875,CCCCNC(=O)N1CCN(CC2=CC=CO2)CC1,1.8944833278656,0.9791666666666667,False,True,False,5S8Y,5S8R,5S9C
41468,Z4345491380,0.9375,CC1=C(Cl)C(NC(=O)N2CCN(C)CC2)=CC=C1Cl,1.91562330722809,0.982638888888889,False,True,False,5S8U,5S8S,5S8W
1750,Z409625282,1.0,O=C(NC1=CC(F)=CC=C1)N1CCN(C(=O)C2=CC=CO2)CC1,1.91819250583649,0.982638888888889,False,True,False,5S8S,5S8U,5S8W
17423,Z409562850,1.0,CC1=CC=C(NC(=O)N2CCN(C(=O)C3=CC=CO3)CC2)C(C)=C1,1.93666672706604,0.9861111111111112,False,True,False,5S8S,5S8U,5S8W
43022,Z44585977,0.875,CCCNC(=O)N1CCN(CC2=CC=CC=C2)CC1,1.99103200435638,0.982638888888889,False,True,False,5S8Y,5S94,5S8R
42691,Z44584884,0.875,CN1CCN(C(=O)NC2=CC=C([N+](=O)[O-])C=C2)CC1,2.01746582984924,0.9930555555555556,False,True,False,5S8S,5S8U,5S8W
42292,Z44584882,0.875,CN1CCN(C(=O)NC2=CC=CC(C(F)(F)F)=C2)CC1,2.04444980621338,0.9895833333333334,False,True,False,5S8S,5S8U,5S8W
42280,Z2294169505,0.875,CN1CCN(C(=O)NC2=CC=CC3=NON=C23)CC1,2.08506178855896,0.9861111111111112,False,True,False,5S8T,5S8W,5S8U
28727,Z2219926874,1.0,CCC1=C(Br)C=C(C(=O)N2CCN(C(=O)NC3=CC=CC(C)=C3)CC2)S1,2.22566175460815,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
43777,Z2788233806,0.875,CS(=N)(=O)N1CCN(C(=O)NCC2=CC=CC=N2)CC1,2.24080014228821,0.9791666666666667,False,True,False,5S9D,5S8Z,5S8V
44332,Z103379678,0.875,CCN1CCN(C(=O)NC2=CC=CC([N+](=O)[O-])=C2)CC1,2.27625346183777,0.9861111111111112,False,True,False,5S8S,5S8U,5S8W
42396,Z31932039,0.875,O=C(C1=CC=CO1)N1CCN(C(=O)C2CCCO2)CC1,2.31671285629272,0.982638888888889,False,True,False,5S8Z,5S8V,5S90
42575,Z44610241,0.875,CCCNC(=O)N1CCN(C2=CC=CC(C)=C2C)CC1,2.4025194644928,0.9895833333333334,False,True,False,5S92,5S94,5S8R
34604,Z3601793564,1.0,COC1=CC=C(NC(=O)N2CCN(C(=O)C3=C(C)SC(Cl)=N3)CC2)C=C1,2.41031885147095,0.982638888888889,False,True,False,5S8W,5S8U,5S8S
44865,Z236574186,0.875,CCN1CCN(C(=O)NC2=CC=CC(OC)=C2)CC1,2.43753385543823,0.982638888888889,False,True,False,5S8W,5S8S,5S8U
24784,Z3843365519,1.0,CNC(=O)N1CCN(C(=O)C2=C(CC3=CC=CC=C3)SC(C)=N2)CC1,2.51238965988159,0.982638888888889,False,True,False,5S97,5S9E,5S94
37355,Z1672853477,1.0,O=C(NC1=CC=C(Br)C(Cl)=C1Cl)N1CCN(C(=O)C2=CC=CO2)CC1,2.65156579017639,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
42820,Z44586118,0.875,CC(C)(C)NC(=O)N1CCN(C2=CC=CC=C2)CC1,2.65787768363953,0.9930555555555556,False,True,False,5S92,5S8V,5S8R
44416,Z177092938,0.875,CN1CCN(C(=O)NC2=CC=C3CCCC3=C2)CC1,2.70366287231445,0.9895833333333334,False,True,False,5S8S,5S8W,5S8U
43769,Z44585619,0.875,CCN1CCN(C(=O)NC2=CC=CC(C)=C2)CC1,2.73520278930664,0.9861111111111112,False,True,False,5S8S,5S8U,5S8W
11895,Z2796133910,1.0,CCNC(=O)N1CCN(C(=O)C2=C(C3=CC=CC=C3)SCCO2)CC1,2.80919766426086,0.9791666666666667,False,True,False,5S93,5S90,5S92
43126,Z2722241689,0.875,CCON1CCN(C(=O)NC2=CC=C(C)C=C2)CC1,2.83968472480774,0.9861111111111112,False,True,False,5S8S,5S8U,5S8W
43184,Z1230373236,0.875,CCCCN1CCN(C(=O)NC2=CC=C(F)C=C2)CC1,2.84664177894592,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
3684,Z2477542584,1.0,CCNC(=O)N1CCN(C(=O)C2=CC3=NON=C3C=C2)CC1,2.90053200721741,0.982638888888889,False,True,False,5S8Y,5S94,5S8R
23686,Z3604398986,1.0,O=C(NC1=CC2=NSN=C2C=C1)N1CCN(C(=O)C2=COC=C2)CC1,2.90490055084229,0.9861111111111112,False,True,False,5S9D,5S8W,5S8U
33161,Z977669256,1.0,COC1=CC=CC(C(=O)N2CCN(C(=O)NC3=C(C)N(C(C)C)N=C3C)CC2)=C1OC,2.96339416503906,0.9791666666666667,False,True,False,5S8W,5S8U,5S8S
1210,Z2409281637,1.0,CNC(=O)N1CCN(C(=O)C2=CC3=NON=C3C=C2)CC1,2.98037219047546,0.9861111111111112,False,True,False,5S9E,5S9D,5S94
7547,Z977656996,1.0,CC1=NN(C(C)C)C(C)=C1NC(=O)N1CCN(C(=O)C2=CC=CO2)CC1,3.00308656692505,0.9791666666666667,False,True,False,5S8V,5S8U,5S8W
18776,Z1381785414,1.0,CNC(=O)N1CCN(C(=O)C2=CN(C)C3=NC(C)=CC=C3C2=O)CC1,3.00571703910828,0.9791666666666667,False,True,False,5S97,5S9E,5S94
28559,Z2841946198,1.0,CC1=NOC2=CC(NC(=O)N3CCN(C(=O)C4=CC=CO4)CC3)=CC=C12,3.03728437423706,0.982638888888889,False,True,False,5S8T,5S8U,5S8W
20244,Z4155458499,1.0,CCNC(=O)N1CCN(C(=O)C2=CC=C3C(=C2)C2CCC3O2)CC1,3.12367153167725,0.9861111111111112,False,True,False,5S92,5S94,5S8R
11448,Z3574063596,1.0,O=C(NC1CCCC=C1Br)N1CCN(C(=O)C2=COC=C2)CC1,3.19097232818604,0.982638888888889,False,True,False,5S9E,5S9D,5S8V
43242,Z2722242623,0.875,CCON1CCN(C(=O)NC2=CC(Cl)=CC=C2C)CC1,3.20044279098511,0.9861111111111112,False,True,False,5S8U,5S8S,5S8W
38016,Z2946685033,1.0,CCNC(=O)N1CCN(C(=O)C2=C(C3=CC=CC=C3C)N=NS2)CC1,3.22294735908508,0.9895833333333334,False,True,False,5S9C,5S8R,5S94
40074,Z1510505774,1.0,O=C(NCCC1=CCOCC1)N1CCN(C(=O)C2=CC(O)=CC=C2)CC1,3.28679370880127,0.9791666666666667,False,True,False,5S8R,5S92,5S90
44391,Z4270749443,0.875,CSC1=CC=NC=C1NC(=O)N1CCN(C)CC1,3.33023023605347,0.9861111111111112,False,True,False,5S8W,5S8S,5S8U
26952,Z2622666951,1.0,CC1=CC=C(NC(=O)N2CCN(C(=O)C3=CC=C(F)S3)CC2)C=C1Cl,3.33171772956848,0.982638888888889,False,True,False,5S9A,5S95,5S8W
44459,Z3246123104,0.875,CCCCNC(=O)N1CCN(C2=CC=C(Br)C=C2)CC1,3.3453266620636,0.9895833333333334,False,True,False,5S93,5S95,5S8R
27345,PV-003911465113,1.0,CC1=CC=C(C(=O)N2CCN(C(=O)NC3=C(C(N)=O)N(C)N=C3)CC2)O1,3.36700320243835,0.9791666666666667,False,True,False,5S8W,5S8U,5S94
30223,Z4173404155,1.0,O=C(NC1CC2=NC=CN2C1)N1CCN(C(=O)C2=CC(F)=CC=C2)CC1,3.37001252174377,0.9861111111111112,False,True,False,5S9D,5S8W,5S8V
41745,Z1746960783,0.9375,CNC(=O)N1CCN(C(=O)C2=NC=C(C)C=C2O)CC1,3.3919677734375,0.9895833333333334,False,True,False,5S8Z,5S8V,5S9D
40248,Z1016787610,1.0,O=C(CNC(=O)N1CCN(C(=O)C2=CC3=CC=CC=C3[NH]2)CC1)NC1=CC=C(Cl)C=C1,3.4021589756012,0.9791666666666667,False,True,False,5S9A,5S95,5S8W
19908,Z899401078,1.0,CC1=CC=C(NC(=O)N2CCN(C(=O)C3=CC(Br)=CS3)CC2)C=C1Cl,3.40603184700012,0.9895833333333334,False,True,False,5S8U,5S8W,5S8S
25955,Z3604401793,1.0,O=C(NC1=CC2=NSN=C2C=C1)N1CCN(C(=O)C2=CC(Cl)=C[NH]2)CC1,3.41164493560791,0.9861111111111112,False,True,False,5S8U,5S8S,5S8W
36327,Z746882506,1.0,COC(=O)N1CCC2=CC(NC(=O)N3CCN(C(=O)C4=CC=CC(Cl)=C4)CC3)=CC=C21,3.41824197769165,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
18362,Z3601791341,1.0,COC1=CC=C(NC(=O)N2CCN(C(=O)C3=C(Cl)C=CS3)CC2)C=C1,3.43690705299377,0.9791666666666667,False,True,False,5S8W,5S8U,5S8S
43529,Z44580109,0.875,CCCNC(=O)N1CCN(C2=CC=CC(OC)=C2)CC1,3.45058035850525,0.9861111111111112,False,True,False,5S90,5S92,5S8R
4245,Z2032357047,1.0,CCNC(=O)N1CCN(C(=O)C2=C(C3CC3)[NH]C=C2)CC1,3.45580458641052,0.982638888888889,False,True,False,5S8Y,5S94,5S8R
8218,Z1381791634,1.0,CNC(=O)N1CCN(C(=O)C2=CC=C3OCOCC3=C2)CC1,3.46096014976501,0.9791666666666667,False,True,False,5S92,5S9E,5S9D
40599,Z2668160472,1.0,COC1=CC(Cl)=C(C(=O)N2CCN(C(=O)NC3=CC=C(C)C(Cl)=C3)CC2)C=C1Cl,3.49450922012329,0.9791666666666667,False,True,False,5S8W,5S8U,5S8S
24884,Z4173404044,1.0,O=C(NC1CC2=NC=CN2C1)N1CCCN(C(=O)C2=CSC=C2)CC1,3.49791216850281,0.9791666666666667,False,True,False,5S9E,5S9D,5S8V
9012,Z44602359,1.0,CC1=CC=CC(NC(=O)N2CCN(C(=O)C3=CC=CO3)CC2)=C1,3.50965619087219,0.9861111111111112,False,True,False,5S8S,5S8U,5S8W
27420,Z2625364441,1.0,CC1=NN=C(N(C)C)C(NC(=O)N2CCN(C(=O)C3=COC=C3)CC2)=C1,3.51743292808533,0.9861111111111112,False,True,False,5S8W,5S9E,5S8U
2998,Z2840653727,1.0,O=C(NC1=CSC=C1Br)N1CCN(C(=O)C2=CC=CO2)CC1,3.51947641372681,0.9791666666666667,False,True,False,5S8U,5S8S,5S8W
43112,Z1068683536,0.875,CN1C=CC(C(=O)NNC(=O)N2CCOCC2)=N1,3.54683113098145,0.982638888888889,False,True,False,5S8Z,5S92,5S90
14713,Z2698048098,1.0,CCNC(=O)N1CCN(C(=O)C2=CC=C(C3=CSN=N3)C=C2)CC1,3.55834007263184,0.982638888888889,False,True,False,5S8Y,5S8R,5S9C
23863,Z1831404961,1.0,COC1=NN(C)C=C1NC(=O)N1CCN(C(=O)C2=CC=CN2C)CC1,3.56174540519714,0.9861111111111112,False,True,False,5S8W,5S8U,5S8S
40566,Z4173404647,1.0,COC1=CC(C(=O)N2CCN(C(=O)NC3CC4=NC=CN4C3)CC2)=CC=C1C,3.56294894218445,0.9791666666666667,False,True,False,5S9D,5S9E,5S8V
34529,Z4035781263,1.0,O=C(NC1CC(=C2CCC2)C1)N1CCN(C(=O)C2=CC(O)=CC=C2)CC1,3.57151007652283,0.982638888888889,False,True,False,5S9E,5S9D,5S8V
42384,Z1465145700,0.875,CCNC(=O)N1CCN(C2=NN=CC3=C2OC=C3)CC1,3.57444405555725,0.9861111111111112,False,True,False,5S9C,5S8Y,5S8R
37165,Z1725768210,1.0,CN1N=CC(C(=O)N2CCN(C(=O)NC3=CC=C(Cl)C=C3)CC2)=C1Br,3.57811617851257,0.9861111111111112,False,True,False,5S8U,5S8S,5S8W
3905,Z1987095419,1.0,CNC(=O)N1CCN(C(=O)C2=C(C3CC3)OC=C2)CC1,3.57815527915955,0.9861111111111112,False,True,False,5S8Z,5S8Y,5S9C
29102,Z2626058770,1.0,O=C(NC1=CC=C2OCCOC2=N1)N1CCN(C(=O)C2=COC=C2)CC1,3.57991504669189,0.9791666666666667,False,True,False,5S8S,5S8U,5S8T
35080,Z2017987713,1.0,O=C1CCC(NC(=O)N2CCN(C(=O)C3=COC=C3)CC2)C2(CCC2)N1,3.58597493171692,0.982638888888889,False,True,False,5S9E,5S9D,5S8V
5072,Z1986089116,1.0,CCNC(=O)N1CCN(C(=O)C2=C(C3CC3)OC=C2)CC1,3.59016418457031,0.982638888888889,False,True,False,5S8Y,5S8R,5S9C
14366,Z1307993066,1.0,CSC1CCCC1NC(=O)N1CCN(C(=O)C2=CC=CC=C2)CC1,3.59165978431702,0.9791666666666667,False,True,False,5S90,5S92,5S8V
41802,Z1167446224,0.9375,CCNC(=O)N1CCN(C(=O)C2=C(Cl)N=CS2)CC1,3.59271311759949,0.9861111111111112,False,True,False,5S8Y,5S95,5S8R
6062,Z2890371380,1.0,CCNC(=O)N1CCN(C(=O)C2=C3C=CC=CN3C=C2)CC1,3.59599018096924,0.9791666666666667,False,True,False,5S8Y,5S8R,5S9C
14902,Z4641340588,1.0,CCNC(=O)N1CCN(C(=O)C2=CC=C3C(=C2)COC3(C)C)CC1,3.60129046440125,0.982638888888889,False,True,False,5S92,5S94,5S8R
24699,Z1088486444,1.0,CC(C)(C)C1=CC(NC(=O)N2CCN(C(=O)C3=COC=C3)CC2)=NO1,3.60212397575378,0.9895833333333334,False,True,False,5S9E,5S8T,5S9D
40990,Z2222562694,0.9375,CCC1=C(Br)C=C(C(=O)N2CCN(C(=O)NC)CC2)S1,3.60364603996277,0.9791666666666667,False,True,False,5S97,5S95,5S94
42543,Z4289143806,0.875,CNC(=O)N1CCN(C(=O)C2=C(SC)CCCC2)CC1,3.60509371757507,0.9791666666666667,False,True,False,5S93,5S90,5S92
44072,Z818056298,0.875,CCC(=O)NC1=CC=C(C(=O)N2CCN(C)CC2)C=C1,3.61185169219971,0.9861111111111112,False,True,False,5S8S,5S8W,5S8U
42997,Z4083885354,0.875,CN1CCN(C(=O)NC2=CSC3=NC=CC=C23)CC1,3.61286520957947,0.9895833333333334,False,True,False,5S8W,5S8U,5S8T
33758,Z2923219134,1.0,O=C(NCC1CC(C(F)(F)F)=NO1)N1CCN(C(=O)C2=COC=C2)CC1,3.6138231754303,0.9861111111111112,False,True,False,5S9C,5S97,5S91
28827,Z2017974609,1.0,O=C1CCC(NC(=O)N2CCN(C(=O)C3=CC=CO3)CC2)C2(CCC2)N1,3.61648535728455,0.9791666666666667,False,True,False,5S8Z,5S8Y,5S8V
16850,Z2837894210,1.0,CNC(=O)N1CCN(C(=O)C2=CC=CC3=NSN=C23)CC1,3.62105011940002,0.9791666666666667,False,True,False,5S9E,5S9D,5S94
744,Z4447370662,1.0,CCNC(=O)N1CCN(C(=O)C2=CC=NC3=C2CNC3)CC1,3.62404155731201,0.982638888888889,False,True,False,5S9C,5S8Y,5S8R
31855,Z1632396133,1.0,CC1=NN=C2CCC(NC(=O)N3CCN(C(=O)C4=COC=C4)CC3)CN12,3.62801623344421,0.982638888888889,False,True,False,5S9D,5S8V,5S9E
13791,Z4302189139,1.0,CCNC(=O)N1CCN(C(=O)C2=C(C3=CC=CC=C3)SN=N2)CC1,3.62882089614868,0.982638888888889,False,True,False,5S9C,5S8Y,5S8R
22675,Z2478362281,1.0,"CS[C@@H]1CCCC[C@H]1NC(=O)N1CCN(C(=O)C2=CC=C(C)S2)CC1 |&1:2,7|",3.63396978378296,0.9791666666666667,False,True,False,5S97,5S92,5S94
29910,Z562583370,1.0,O=C(NCCCN1C=CC=CC1=O)N1CCN(C(=O)C2=COC=C2)CC1,3.63602185249329,0.9791666666666667,False,True,False,5S8Y,5S8R,5S9C
19795,Z4035771289,1.0,CN1C=CC=C1C(=O)N1CCN(C(=O)NC2CC(=C3CCC3)C2)CC1,3.6365008354187,0.9861111111111112,False,True,False,5S9C,5S8Z,5S8V
